nome,endereco,latitude,longitude,cidade
Shopping Vila Olímpia,"R. Olimpíadas, 360 - Vila Olímpia, São Paulo",-23.5954524,-46.6865941,São Vicente
Iguatemi Shopping,"Av. Brig. Faria Lima, 2232 - Jardim Paulistano, São Paulo",-23.5770446,-46.6881912,São Vicente
Shopping Anália Franco,"Av. Reg. Feijó, 1739 - Tatuapé, São Paulo",-23.5614365,-46.5604301,São Vicente
Shopping Metrô Itaquera,"Av. José Pinheiro Borges - Itaquera, São Paulo",-23.5405621,-46.4706432,São Vicente
Jardim Pamplona Shopping,"R. Pamplona, 1704 - Jardim Paulista, São Paulo",-23.5703849,-46.6614179,São Vicente
Shopping Cidade São Paulo,"Av. Paulista, 1230 - Bela Vista, São Paulo",-23.563522,-46.6526872,São Vicente
Morumbi Shopping,"Av. Roque Petroni Júnior, 1089 - Jardim das Acacias, São Paulo",-23.6233618,-46.6988352,São Vicente
Shopping Center Norte,"Av. Otto Baumgart, 245 - Vila Guilherme, São Paulo",-23.5153886,-46.61780419999999,Mauá
Mooca Plaza Shopping,"R. Cap. Pacheco e Chaves, 313 - Vila Prudente, São Paulo",-23.5798907,-46.5946797,São Vicente
Grand Plaza Shopping,"Av. Industrial, 600 - Centro, Santo André",-23.6487368,-46.5320388,São Vicente
São Bernardo Plaza Shopping,"Av. Rotary, 624 - Centro, São Bernardo do Campo",-23.7232218,-46.543195,São Vicente
Shopping West Plaza,"Água Branca, São Paulo",-23.5271065,-46.6744199,São Vicente
Internacional Shopping Guarulhos,"Rod. Pres. Dutra, 225 - Vila Itapegica, Guarulhos",-23.4881295,-46.5491937,Mauá
Shopping Light,"R. Cel. Xavier de Toledo, 23 - República, São Paulo",-23.546459,-46.6388691,São Vicente
Frei Caneca Mall,"R. Frei Caneca, 569 - Consolação, São Paulo",-23.554048,-46.6526753,São Vicente
Shopping Market Place,"Av. Dr. Chucri Zaidan, 902 - Vila Cordeiro, São Paulo",-23.6215583,-46.6998137,São Vicente
